Reading,Name,PlasticType,Color,MeasurementType,DateTime,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,nm940_snv,nm1050_snv,nm1200_snv,nm1300_snv,nm1450_snv,nm1550_snv,nm1650_snv,nm1720_snv,nm940_norm,nm1050_norm,nm1200_norm,nm1300_norm,nm1450_norm,nm1550_norm,nm1650_norm,nm1720_norm
13,217_HDPE_ps_1,HDPE,purple,regular,2023-04-18 10:18:40,0.6078562,0.203661,0.3508267,0.4645919,0.2356831,0.1780541,0.1313879,0.0728694,1.931003444,-0.4541039144,0.4143032167,1.085618006,-0.265145346,-0.6052071577,-0.8805788025,-1.225889447,1.228682204,1.247239732,-0.813860024,0.9913463709,-0.8687904732,-1.524074247,-0.4286479337,0.1681043711
14,217_HDPE_ps_1,HDPE,purple,regular,2023-04-18 10:18:40,0.6080564,0.2036375,0.3508142,0.4645986,0.2356093,0.1780216,0.1313341,0.0727983,1.931412728,-0.4540061655,0.4140988635,1.085243208,-0.2654241388,-0.6050986388,-0.8804795485,-1.225746309,1.23180104,1.246788683,-0.8122004965,0.9921052884,-0.8687283526,-1.522677827,-0.4296326861,0.1625443504
15,217_HDPE_ps_2,HDPE,purple,regular,2023-04-18 10:18:53,0.5364611,0.1740292,0.3254956,0.4147092,0.2258185,0.1940692,0.1362571,0.0706911,1.905863996,-0.5898783011,0.4531344721,1.067468241,-0.2332520037,-0.4518808576,-0.849980758,-1.301474789,1.139416277,0.7895018396,-1.434077439,0.9192130929,-1.218971281,-1.112170566,0.3290315656,0.5880565107
16,217_HDPE_ps_3,HDPE,purple,regular,2023-04-18 10:19:07,0.4731863,0.16701,0.2630525,0.2932363,0.1424234,0.1272406,0.0818431,0.0443381,2.108955653,-0.2464117958,0.4924284677,0.7246278247,-0.4355527492,-0.5523517075,-0.9015877318,-1.190107961,1.439551456,1.769008814,-0.2278072106,0.1819765794,-1.080055638,-0.9069574224,-0.7163906541,-0.4593259241
17,216_HDPE_ps_1,HDPE,transparent,regular,2023-04-18 10:20:43,0.2797655,0.0923514,0.1704694,0.1898118,0.1125887,0.0998646,0.0578702,0.0322178,2.004539251,-0.4933578773,0.5478163347,0.805616177,-0.2236306073,-0.3932202639,-0.952931039,-1.294831975,1.689604946,1.550024971,-0.7031469075,0.1380762684,-0.9312802422,-0.556746745,-1.01039791,-0.1761343814
18,216_HDPE_ps_2,HDPE,transparent,regular,2023-04-18 10:20:54,0.3788916,0.1264651,0.2308364,0.2633791,0.1592507,0.1397416,0.0799559,0.0448811,1.982069573,-0.5075349277,0.5218469248,0.8428055103,-0.1841806947,-0.3765929143,-0.9662407832,-1.312172688,1.597707575,1.580083877,-0.9431789444,0.2022397789,-0.7801728488,-0.4711009953,-1.086131928,-0.0994465149
19,216_HDPE_ps_3,HDPE,transparent,regular,2023-04-18 10:21:09,0.3259853,0.1098985,0.2014332,0.2248995,0.1323143,0.11499,0.0677903,0.0374764,1.981814681,-0.4774233371,0.5643136603,0.8313786411,-0.2223138738,-0.419478056,-0.956647826,-1.301643889,1.569180829,1.661474602,-0.6219591252,0.2276551043,-0.8911251272,-0.7022933174,-0.9947978341,-0.2481351321
20,210_HDPE_ps_1,HDPE,white,regular,2023-04-18 10:21:49,0.6086946,0.1876299,0.38737,0.3896372,0.2322307,0.1979764,0.1207395,0.059198,2.011726019,-0.5111077164,0.6856467552,0.6992308164,-0.243879419,-0.4491160575,-0.9118854536,-1.280614944,1.942684809,1.16642127,0.1586996253,0.07466155495,-0.7896698303,-0.7670336918,-0.7739658326,-1.011797905
21,210_HDPE_ps_2,HDPE,white,regular,2023-04-18 10:22:00,0.5833545,0.1958816,0.3548611,0.3820648,0.2157176,0.1972921,0.1217154,0.0668825,2.042460104,-0.4412662975,0.577802601,0.7521800811,-0.3141162519,-0.4322249011,-0.9166764462,-1.268158889,1.589226481,1.632692623,-0.4777359409,-0.02977500478,-1.257889798,-0.7428753534,-0.6656597324,-0.04798327495
22,210_HDPE_ps_3,HDPE,white,regular,2023-04-18 10:22:15,0.6253144,0.1980396,0.3707643,0.3803744,0.228679,0.2005064,0.1228625,0.0619783,2.096869144,-0.4502254463,0.5794307584,0.6367190275,-0.2675761303,-0.4355202193,-0.8983754067,-1.261321727,1.918894551,1.433920067,-0.2495458831,-0.1826183734,-0.8874134438,-0.6836981807,-0.6586277928,-0.6909109443
