PlasticType,wavelength1,wavelength2,wavelength3,wavelength4,wavelength5,wavelength6,wavelength7,wavelength8,wavelength9,wavelength10,wavelength11,wavelength12,wavelength13,wavelength14

-1,25927,483114,820893,496872,620625,520728,615964,297940,3753.1,-1246.2346153846154,1237.53,-665.98,952.36,-3180.24
-1,26342,484406,817324,489356,608100,514808,618411,300447,3699.088888888889,-1261.4153846153847,1187.44,-621.9466666666667,1036.03,-3179.64
-1,26482,490686,833236,503219,625177,524497,623909,302907,3806.1111111111113,-1269.2961538461539,1219.58,-671.2,994.12,-3210.02
