color,415,445,480,515,555,590,630,680,910
green, 388, 600, 1226, 2986, 4129, 3906, 3922, 2603, 3839
green, 404, 616, 1244, 3029, 4164, 3933, 3956, 2622, 4050
green, 384, 595, 1221, 2979, 4096, 3871, 3898, 2572, 3499
green, 386, 596, 1224, 2994, 4129, 3901, 3928, 2591, 3611
green, 383, 591, 1213, 2963, 4094, 3872, 3905, 2579, 3637
green, 378, 584, 1195, 2906, 3852, 3653, 3703, 2460, 3561
green, 376, 580, 1186, 2881, 4034, 3818, 3861, 2554, 3643
green, 388, 603, 1232, 2987, 4100, 3880, 3924, 2595, 3702
green, 386, 593, 1218, 2979, 4075, 3855, 3892, 2572, 3556
green, 377, 583, 1199, 2910, 4071, 3850, 3888, 2567, 3552
green, 383, 592, 1214, 2967, 4090, 3869, 3907, 2574, 3603
green, 384, 602, 1231, 2978, 4073, 3850, 3887, 2565, 3560
green, 384, 600, 1230, 2990, 4251, 4008, 4036, 2647, 3625
green, 385, 598, 1235, 3015, 3991, 3781, 3823, 2531, 3520
green, 371, 575, 1179, 2852, 3899, 3694, 3732, 2474, 3423
green, 381, 589, 1211, 2962, 4160, 3914, 3928, 2575, 3519
green, 386, 597, 1227, 2990, 3985, 3774, 3815, 2524, 3577
green, 380, 594, 1214, 2951, 4097, 3872, 3904, 2573, 3597
green, 380, 587, 1205, 2931, 3982, 3770, 3800, 2513, 3547
green, 372, 576, 1175, 2847, 4764, 4414, 4369, 2808, 3691
green, 384, 592, 1213, 2981, 4109, 3882, 3909, 2577, 3637
green, 387, 606, 1239, 3007, 4129, 3896, 3923, 2584, 3606
green, 381, 604, 1227, 2939, 4109, 3878, 3903, 2573, 3579
green, 386, 596, 1227, 3012, 4148, 3917, 3943, 2596, 3591
green, 388, 600, 1232, 3007, 4145, 3916, 3943, 2598, 3600
green, 396, 611, 1263, 3135, 4114, 3875, 3891, 2557, 3554
green, 382, 584, 1202, 2961, 4099, 3871, 3898, 2569, 3569
green, 386, 597, 1223, 2987, 4106, 3880, 3911, 2577, 3586
green, 385, 596, 1225, 2995, 4137, 3911, 3942, 2595, 3562
green, 399, 622, 1286, 3161, 4347, 4087, 4103, 2668, 3583
green, 404, 607, 1272, 3250, 4045, 3815, 3842, 2518, 3542
green, 400, 600, 1262, 3267, 4360, 4053, 4020, 2598, 3487
green, 386, 599, 1233, 3062, 4013, 3789, 3815, 2511, 3490
green, 400, 600, 1216, 3001, 4089, 3863, 3886, 2568, 3768
