Reading,Name,PlasticType,Color,MeasurementType,DateTime,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,nm940_snv,nm1050_snv,nm1200_snv,nm1300_snv,nm1450_snv,nm1550_snv,nm1650_snv,nm1720_snv,nm940_norm,nm1050_norm,nm1200_norm,nm1300_norm,nm1450_norm,nm1550_norm,nm1650_norm,nm1720_norm
14,A01C,PET,White,regular,2023-01-17 0:00:14,0.2490072,0.1233222,0.18594,0.2274247,0.206673,0.1905473,0.2580278,0.0461015,0.8950262971,-0.8869663198,0.0008441372115,0.5890243426,0.2948016733,0.06616756152,1.022922566,-1.981820258,1.979339117,0.8707338563,-0.0168778149,1.401191725,0.6931037925,0.6221673062,0.6983777262,1.100828096
15,A01C,PET,White,regular,2023-01-17 0:00:15,0.2471821,0.1224823,0.1858212,0.2243944,0.2009356,0.1850964,0.2547321,0.0461698,0.9199947805,-0.8773186082,0.03559266345,0.591552888,0.2534383495,0.02514603287,1.028813849,-1.977219955,2.034556596,0.8612627085,-0.7116454261,1.407206717,0.5958551023,0.2364457625,0.7023998689,1.098272797
16,A02C,PET,White,regular,2023-01-17 0:00:16,0.2413635,0.1211211,0.1879557,0.230348,0.214908,0.1990037,0.2711988,0.0483893,0.7225930291,-0.9458115774,-0.01845854294,0.5697491824,0.3555138784,0.1348362523,1.136568066,-1.954990288,1.598005168,0.9285021807,0.3690630703,1.355339299,0.8358433473,1.267852494,0.7759666739,1.085925037
17,A02C,PET,White,regular,2023-01-17 0:00:17,0.2439975,0.1210693,0.1895551,0.2318385,0.2161771,0.1988164,0.2734895,0.0486228,0.7352208228,-0.9524815313,-0.01222822993,0.5682878252,0.3532697768,0.1149217472,1.140121552,-1.947111963,1.625931371,0.9350500672,0.244493192,1.351862971,0.8305672737,1.08059829,0.7783927379,1.081548918
18,A02C,PET,White,regular,2023-01-17 0:00:18,0.2426453,0.1211761,0.1888147,0.2297122,0.2144882,0.1973066,0.2733633,0.0486723,0.7340568111,-0.9444130898,-0.009778184466,0.5553463308,0.3449800341,0.1075634836,1.158520284,-1.946275669,1.623357174,0.927129287,0.1955065897,1.321077291,0.8110773839,1.011409236,0.7909540643,1.081084387
19,A02C,PET,White,regular,2023-01-17 0:00:19,0.2424878,0.1209188,0.1889391,0.2298834,0.2132539,0.1960415,0.2716905,0.0486691,0.7425987688,-0.9447494539,-0.0006441942385,0.5676527551,0.3368393301,0.09793539445,1.147925159,-1.947557759,1.642247603,0.9274594953,0.01288012301,1.350352244,0.7919378968,0.9208772266,0.7837204778,1.081796541
20,A03C,PET,Transparent,regular,2023-01-17 0:00:20,0.2547801,0.1259533,0.2083603,0.2456154,0.2416301,0.2147397,0.3150334,0.0561686,0.5795981995,-1.009247448,0.00709389782,0.4665681956,0.4174167259,0.08577226227,1.322713711,-1.869915545,1.281773946,0.9907771045,-0.1418365317,1.109888756,0.9813822037,0.8065084482,0.9030534906,1.038669153
21,A03C,PET,Transparent,regular,2023-01-17 0:00:21,0.2565486,0.1270326,0.2074911,0.2457896,0.2419688,0.2150968,0.3169839,0.0561553,0.5910952948,-0.9983551562,-0.01094974595,0.4590583465,0.4121686009,0.08238917199,1.332771341,-1.868177853,1.307199624,0.980084154,0.2189309781,1.092024064,0.9690434157,0.7746975711,0.9099201147,1.03770393
22,A03C,PET,Transparent,regular,2023-01-17 0:00:22,0.2570814,0.1252948,0.2068497,0.2437167,0.2405195,0.2150108,0.3149765,0.0561091,0.6113471013,-1.011797437,-0.007329679984,0.4467412931,0.4073631035,0.09318619107,1.324409851,-1.863920423,1.351986233,0.9932804263,0.1465507981,1.062723826,0.9577452827,0.8762209177,0.9042114924,1.035339084
23,A03C,PET,Transparent,regular,2023-01-17 0:00:23,0.2531945,0.1240312,0.2023179,0.2335654,0.2332297,0.2134286,0.3115182,0.0560254,0.6272537417,-1.000249787,-0.01380951738,0.3799200987,0.3756901593,0.1261892552,1.36215311,-1.85714706,1.387163563,0.9819441114,0.2761097071,0.9037672298,0.8832794987,1.1865456,0.9299798665,1.031576731
24,A04C,PET,Transparent,regular,2023-01-17 0:00:24,0.2414924,0.1183216,0.159301,0.2149789,0.1829198,0.1771568,0.2225015,0.0379634,1.09640288,-0.7749836568,-0.1523661414,0.6935719581,0.2064843681,0.1189246493,0.8078660308,-1.995900089,2.424680835,0.7608005998,3.046433088,1.649893252,0.4854623009,1.1182372,0.5515526397,1.108648923
25,A04C,PET,Transparent,regular,2023-01-17 0:00:25,0.2415863,0.1192241,0.1606478,0.2153053,0.1834148,0.1773986,0.2214104,0.0388953,1.09922062,-0.7727519365,-0.1390265736,0.6971576403,0.2092770626,0.1172375169,0.7905572331,-2.001671563,2.43091223,0.7586097225,2.779719629,1.658422998,0.492028163,1.102373254,0.5397354414,1.111854764
26,A04C,PET,Transparent,regular,2023-01-17 0:00:26,0.2418322,0.1185002,0.1596062,0.2146106,0.1829903,0.1768816,0.2224492,0.0378262,1.101092938,-0.7721360661,-0.1477972778,0.6876374627,0.2073722998,0.1145902642,0.8066940974,-1.997453718,2.435052836,0.7580051231,2.955082496,1.635776067,0.4875499038,1.077481388,0.5507525281,1.109511907
27,A04C,PET,Transparent,regular,2023-01-17 0:00:27,0.2413804,0.1182752,0.1599681,0.2158576,0.1817067,0.1762359,0.2228882,0.0379179,1.094302833,-0.7740922606,-0.1413098129,0.7069376013,0.1886217706,0.1055902182,0.8136425865,-1.993692936,2.420036606,0.7599255171,2.82537108,1.681687912,0.4434658159,0.992854808,0.5554964551,1.107422931
