type,940,1050,1200,1300,1460,1550,1650,1720
2, 0.2503, 0.23016, 0.18667, 0.22928, 0.20502, 0.21064, 0.26297, 0.05285
2, 0.24925, 0.22943, 0.18464, 0.22639, 0.20649, 0.20818, 0.2635, 0.05249
2, 0.25039, 0.2303, 0.18624, 0.22825, 0.20518, 0.20982, 0.26421, 0.0526
2, 0.25209, 0.2314, 0.18812, 0.23038, 0.20382, 0.21164, 0.26484, 0.05283
2, 0.25107, 0.23073, 0.18711, 0.22963, 0.20655, 0.21049, 0.26317, 0.05291
