,950,1050,1200,1300,1460,1550,1650,1720
spec,0.2948,0.2791,0.275,0.3333,0.3609,0.3552,0.4629,0.0945
spec,0.2947,0.2791,0.2751,0.3334,0.361,0.3551,0.463,0.0943
spec,0.2947,0.2791,0.2751,0.3335,0.361,0.3552,0.463,0.0944
spectralon,0.2937,0.277,0.273,0.3316,0.3583,0.353,0.4567,0.0935
spectralon,0.2936,0.277,0.2733,0.3318,0.3584,0.353,0.4568,0.0935
spectralon,0.2934,0.277,0.2733,0.3319,0.3585,0.353,0.4572,0.0935
kl200,0.2153,0.1917,0.1405,0.1751,0.1545,0.1572,0.2036,0.0415
kl200,0.2153,0.1916,0.1406,0.1751,0.1545,0.1573,0.2035,0.0415
kl200,0.2132,0.1915,0.142,0.1772,0.157,0.1575,0.1992,0.0406
kl200,0.2126,0.1864,0.1374,0.1763,0.1562,0.1574,0.2019,0.0413
kl200,0.2143,0.1916,0.1407,0.1751,0.1509,0.1538,0.203,0.0418
kl900,0.1772,0.1536,0.1173,0.1454,0.1379,0.1324,0.1533,0.0336
kl900,0.1772,0.1537,0.1173,0.1456,0.1379,0.1325,0.1533,0.0336
kl900,0.1772,0.1537,0.1174,0.1456,0.138,0.1324,0.1533,0.0337
kl900,0.1894,0.1567,0.1154,0.1425,0.1266,0.1257,0.1537,0.0331
kl900,0.1815,0.1634,0.1242,0.1393,0.1267,0.1331,0.1532,0.0315
kl900,0.1774,0.1533,0.1187,0.1458,0.136,0.1277,0.1471,0.0323
kl901,0.2197,0.1933,0.1412,0.1832,0.1573,0.159,0.1924,0.0412
kl901,0.2195,0.1933,0.1409,0.183,0.157,0.1587,0.1922,0.0406
kl901,0.2193,0.1933,0.1409,0.183,0.157,0.1586,0.1922,0.0406
kl901,0.2183,0.1926,0.1401,0.1822,0.1565,0.1578,0.1913,0.0404
kl901,0.2182,0.1915,0.14,0.1814,0.1565,0.1572,0.1902,0.0402
kl100,0.1759,0.1434,0.1291,0.1157,0.0872,0.0838,0.1191,0.0306
kl100,0.1718,0.1424,0.1267,0.1131,0.0862,0.0834,0.1179,0.0306
kl100,0.1882,0.163,0.1438,0.1618,0.1431,0.1088,0.1412,0.0333
kl100,0.1882,0.1629,0.1438,0.1618,0.1431,0.1087,0.1411,0.0332
kl100,0.1879,0.1627,0.1442,0.1613,0.1408,0.1076,0.1408,0.033
kl500,0.2087,0.1787,0.1306,0.1744,0.1553,0.1584,0.1925,0.0398
kl501,0.2086,0.1788,0.1307,0.1744,0.1553,0.1584,0.1924,0.0398
kl502,0.2018,0.1817,0.1343,0.174,0.1498,0.1551,0.188,0.0398
kl503,0.1991,0.1783,0.1306,0.1757,0.156,0.1576,0.1911,0.039
