PlasticType,Color,MeasurementType,white,nm850,nm940,nm1200,nm1300,nm1450,nm1550,nm1650
PS,F02C,VALUE,12384,259555,380726,250623,260743,259043,250997,144669
PS,F02C,POST,416,446,421,433,426,439,440,420
PS,F02C,PRE,460,448,468,451,446,459,450,493
PS,F02C,VALUE,12506,262114,385688,250748,256472,251705,259070,149456
PS,F02C,POST,331,368,426,423,456,457,486,466
PS,F03C,PRE,446,465,445,462,448,446,439,457
PS,F03C,VALUE,14570,287496,410684,240353,260273,239313,247976,133648
PS,F03C,POST,472,467,476,449,448,442,433,461
PS,F03C,PRE,495,462,422,457,498,489,450,466
PS,F03C,VALUE,14692,286287,408419,238197,258678,238716,247438,133432
PS,F03C,POST,451,494,476,450,484,387,341,335
PS,F03C,PRE,388,417,469,456,444,483,470,436
PS,F03C,VALUE,14729,288359,411174,240650,259921,238828,248524,133894
PS,F03C,POST,437,479,458,466,406,462,500,498
PS,F03C,PRE,445,463,517,451,463,450,503,492
PS,F03C,VALUE,14676,287048,409542,238938,258563,237869,246810,133397
PS,F03C,POST,471,430,450,494,449,479,439,448
PS,F04C,PRE,487,485,437,441,445,453,463,433
PS,F04C,VALUE,14689,288643,416048,273974,284475,275203,294023,148088
PS,F04C,POST,424,450,474,469,460,457,457,450
PS,F04C,PRE,453,484,447,441,448,452,450,440
PS,F04C,VALUE,14808,288013,413454,272631,281789,272771,291680,147526
PS,F04C,POST,439,455,445,464,456,441,451,437
PS,F04C,PRE,423,496,491,473,491,452,442,442
PS,F04C,VALUE,14852,288358,412873,272049,278596,269794,288822,147237
PS,F04C,POST,459,480,488,454,421,454,434,445
PS,F04C,PRE,448,446,423,435,438,428,405,458
PS,F04C,VALUE,14282,269936,381239,251877,257586,251090,266903,139802
PS,F04C,POST,438,430,417,428,468,423,419,415
other,reference,PRE,446,432,401,465,459,461,498,472
other,reference,VALUE,14818,293539,424632,279834,286980,262090,255818,149015
other,reference,POST,468,450,465,460,425,439,480,463
other,reference,PRE,484,459,458,449,484,474,485,473
other,reference,VALUE,14961,293650,423994,279330,285540,260903,251099,148479
other,reference,POST,463,427,448,427,447,442,448,456
other,spectralon,PRE,441,456,449,459,449,432,441,465
other,spectralon,VALUE,15334,294434,426999,284605,292240,285853,295215,163965
other,spectralon,POST,459,465,468,466,477,448,451,457
other,spectralon,PRE,464,483,454,445,449,463,431,445
other,spectralon,VALUE,15424,294701,427545,285063,292865,286868,295946,164005
other,spectralon,POST,459,464,458,452,449,447,444,444
other,polished alu,PRE,416,331,494,447,479,499,470,486
other,polished alu,VALUE,12832,308819,434819,385821,341416,319314,419540,159763
other,polished alu,POST,447,446,450,470,445,474,461,487
other,polished alu,PRE,458,428,446,441,458,440,447,453
other,polished alu,VALUE,12932,309446,437939,386415,346636,321023,419865,159971
other,polished alu,POST,480,421,460,478,453,471,447,459
other,nothing,PRE,443,392,414,454,520,427,478,483
other,nothing,VALUE,11171,165640,217403,143590,131676,144922,116102,94499
other,nothing,POST,391,474,465,444,470,495,510,484
other,nothing,PRE,383,471,399,363,486,448,475,340
other,nothing,VALUE,11178,165502,217424,143522,131712,144896,116082,94564
other,nothing,POST,470,439,353,432,441,471,489,413
