Reading,PlasticType,ID,Color,white,nm850,nm940,nm1200,nm1300,nm1450,nm1550,nm1650
1,other,spectralon,white,3361,124476,197384,146473,175962,147263,193951,84287
2,other,spectralon,white,3540,124631,196966,145841,175297,147027,193828,84172
3,other,spectralon,white,3629,125266,196930,145407,174181,146413,193610,84323
4,other,polished alu,metal,1391,138991,208164,242723,228716,184063,312925,80463
5,other,polished alu,metal,1457,137500,209196,245137,229100,184616,312787,80615
6,other,polished alu,metal,1361,137862,207944,245663,229372,183227,313915,81036
7,PET,A01C,White,2509,105280,160558,114800,142798,110169,154957,58544
8,PET,A01C,White,2765,116175,180422,128807,158408,120457,169609,63560
9,PET,A01C,White,2733,99480,150746,104444,127996,94695,140013,53812
10,PET,A01C,White,2811,103500,158608,111797,135214,98607,138657,54660
11,PET,A02C,White,2737,92092,134313,97732,112668,86572,120891,48818
12,PET,A02C,White,2631,82853,113300,77637,88200,69823,104576,43902
13,PET,A02C,White,22935,408102,630426,343651,422214,320979,390851,173989
14,PET,A02C,White,2627,93234,137568,99947,124104,92015,132125,55158
15,PET,A03C,Transparent,3063,127914,197670,153329,181462,148267,202533,79288
16,PET,A03C,Transparent,2670,102136,150508,118293,138147,113142,160072,66092
17,PET,A03C,Transparent,3178,128936,199159,155274,182796,150971,201883,80136
18,PET,A03C,Transparent,3263,120138,180281,139327,161998,129157,186663,75330
19,PET,A04C,Transparent,2873,113502,173225,116020,153603,106945,160399,56384
20,PET,A04C,Transparent,3059,114485,172789,115727,152799,106385,160270,56303
21,PET,A04C,Transparent,2953,113030,171478,114995,152214,106369,159566,55922
22,PET,A04C,Transparent,3091,114482,172846,115865,152920,106556,160705,56461
23,HDPE,B01C,White,3153,109728,163204,103971,135985,98483,143233,65324
24,HDPE,B01C,White,3214,110462,164390,105360,137926,101892,148512,66594
25,HDPE,B01C,White,3309,110218,164970,105312,137884,99427,144343,65815
26,HDPE,B01C,White,3184,109516,163202,104333,136858,99854,146501,66034
27,HDPE,B02C,Transparent,2699,90444,131336,90732,123053,95221,140247,62985
