PlasticType,wavelength1,wavelength2,wavelength3,wavelength4,wavelength5,wavelength6,wavelength7,wavelength8,wavelength9,wavelength10,wavelength11,wavelength12,wavelength13,wavelength14
3,1343,88660,137516,93742,109702,81805,104811,46930,542.8444444444444,-168.36153846153846,159.6,-185.98,230.06,-578.81
3,1339,87942,136602,93371,109804,82098,104778,46926,540.6666666666666,-166.27307692307693,164.33,-184.70666666666668,226.8,-578.52
3,1367,88130,136746,93715,110086,81942,104437,46773,540.1777777777778,-165.50384615384615,163.71,-187.62666666666667,224.95,-576.64
3,1326,87640,136095,93023,109526,82116,104295,46673,538.3888888888889,-165.66153846153847,165.03,-182.73333333333332,221.79,-576.22
3,343,19482,19280,28995,38780,26711,43112,23396,-2.2444444444444445,37.36538461538461,97.85,-80.46,164.01,-197.16
3,363,19162,19329,28563,38412,26423,42692,23186,1.8555555555555556,35.51538461538462,98.49,-79.92666666666666,162.69,-195.06
3,351,19863,18754,29209,38490,26709,42880,23306,-12.322222222222223,40.21153846153846,92.81,-78.54,161.71,-195.74
3,311,19082,19046,28715,37312,26191,41735,23354,-0.4,37.18846153846154,85.97,-74.14,155.44,-183.81
4,3507,123302,185957,138111,167594,139309,188215,78966,696.1666666666666,-184.02307692307693,294.83,-188.56666666666666,489.06,-1092.49
4,3685,123916,190074,140440,168822,140949,189341,80106,735.0888888888888,-190.9,283.82,-185.82,483.92,-1092.35
4,3641,122634,187234,139483,168349,139433,187088,79356,717.7777777777778,-183.65769230769232,288.66,-192.77333333333334,476.55,-1077.32
4,3628,123603,187989,139247,167082,137005,185819,78545,715.4,-187.46923076923076,278.35,-200.51333333333332,488.14,-1072.74
4,2251,102974,154254,142769,145140,125433,173269,68752,569.7777777777778,-44.17307692307692,23.71,-131.38,478.36,-1045.17
4,2397,111030,182795,151203,160244,130630,178047,69218,797.3888888888889,-121.50769230769231,90.41,-197.42666666666668,474.17,-1088.29
4,2399,101904,157675,118406,141700,119150,173783,80598,619.6777777777778,-151.0346153846154,232.94,-150.33333333333334,546.33,-931.85
4,2739,121032,173402,165285,186550,130831,223042,84578,581.8888888888889,-31.21923076923077,212.65,-371.46,922.11,-1384.64
4,1262,95972,139000,93486,124736,97041,147061,64239,478.0888888888889,-175.05384615384617,312.5,-184.63333333333333,500.2,-828.22
4,955,61264,81027,59248,81056,61086,93443,43828,219.5888888888889,-83.76538461538462,218.08,-133.13333333333333,323.57,-496.15
4,1307,95111,136451,95135,123206,94987,142958,64235,459.3333333333333,-158.90769230769232,280.71,-188.12666666666667,479.71,-787.23
4,853,57961,77942,56185,77658,57534,89113,42251,222.01111111111112,-83.68076923076923,214.73,-134.16,315.79,-468.62
4,2011,70236,93172,54012,76253,54583,85065,40706,254.84444444444443,-150.6153846153846,222.41,-144.46666666666667,304.82,-443.59
4,2016,86576,98496,69603,111862,78413,93827,53256,132.44444444444446,-111.12692307692308,422.59,-222.99333333333334,154.14,-405.71
4,1983,85166,102469,65033,110768,102411,113851,56712,192.25555555555556,-143.98461538461538,457.35,-55.71333333333333,114.4,-571.39
4,2223,76706,101129,58663,80204,52195,83715,41706,271.3666666666667,-163.33076923076922,215.41,-186.72666666666666,315.2,-420.09
5,3369,114316,166222,104445,136272,97734,146007,64168,576.7333333333333,-237.60384615384615,318.27,-256.92,482.73,-818.39
5,3232,104056,148157,94061,120998,86443,126694,56676,490.0111111111111,-208.06153846153848,269.37,-230.36666666666667,402.51,-700.18
5,3338,116230,169865,106195,139530,98063,144426,64170,595.9444444444445,-244.8846153846154,333.35,-276.44666666666666,463.63,-802.56
5,3467,113600,162760,101981,131994,97632,144879,63368,546.2222222222222,-233.76538461538462,300.13,-229.08,472.47,-815.11
5,2981,102926,150423,100263,128282,95493,130637,57238,527.7444444444444,-192.92307692307693,280.19,-218.59333333333333,351.44,-733.99
5,3124,104541,152124,101365,127512,95794,132293,57906,528.7,-195.22692307692307,261.47,-211.45333333333335,364.99,-743.87
5,3061,101764,147789,98286,123790,91649,127930,56504,511.3888888888889,-190.39615384615385,255.04,-214.27333333333334,362.81,-714.26
5,3068,103166,147246,99001,125522,94906,126639,57172,489.77777777777777,-185.55769230769232,265.21,-204.10666666666665,317.33,-694.67
5,1459,83862,121036,70266,93990,61788,88718,41049,413.0444444444444,-195.26923076923077,237.24,-214.68,269.3,-476.69
5,1533,83530,120404,69997,93672,60828,88443,41134,409.7111111111111,-193.87307692307692,236.75,-218.96,276.15,-473.09
5,1489,84238,121664,71065,94627,61208,87457,40925,415.84444444444443,-194.61153846153846,235.62,-222.79333333333332,262.49,-465.32
5,1546,83899,121519,71169,94835,61579,87415,40718,418.0,-193.65384615384616,236.66,-221.70666666666668,258.36,-466.97
5,967,68742,90082,54814,70534,45346,72204,32458,237.11111111111111,-135.64615384615385,157.2,-167.92,268.58,-397.46
5,1009,67328,90336,54357,71191,46735,65011,32550,255.64444444444445,-138.38076923076923,168.34,-163.04,182.76,-324.61
5,1015,69058,92814,55289,72680,46815,70053,33641,263.9555555555556,-144.32692307692307,173.91,-172.43333333333334,232.38,-364.12
5,1031,66568,92062,55845,72508,46192,70607,33233,283.26666666666665,-139.29615384615386,166.63,-175.44,244.15,-373.74
5,3209,123930,181634,100535,142076,94911,144777,62631,641.1555555555556,-311.91923076923075,415.41,-314.43333333333334,498.66,-821.46
5,3312,124913,182441,100929,142015,94019,144547,62856,639.2,-313.5076923076923,410.86,-319.97333333333336,505.28,-816.91
5,3349,124520,181512,99694,141125,94209,143869,62829,633.2444444444444,-314.68461538461537,414.31,-312.7733333333333,496.6,-810.4
5,3737,124612,181874,100123,142047,94332,143901,62978,636.2444444444444,-314.42692307692306,419.24,-318.1,495.69,-809.23
5,3405,124198,181448,99839,141698,93877,143448,62610,636.1111111111111,-313.8807692307692,418.59,-318.8066666666667,495.71,-808.38
6,3858,130046,198008,133375,170327,133869,183463,69996,755.1333333333333,-248.58846153846153,369.52,-243.05333333333334,495.94,-1134.67
6,3846,130673,199751,135456,172921,134783,183918,70234,767.5333333333333,-247.28846153846155,374.65,-254.25333333333333,491.35,-1136.84
6,3689,126952,196705,134181,173184,133421,179627,68588,775.0333333333333,-240.47692307692307,390.03,-265.08666666666664,462.06,-1110.39
6,3879,130051,198104,132743,170881,132479,181295,69826,756.1444444444444,-251.38846153846154,381.38,-256.0133333333333,488.16,-1114.69
6,1029,90043,149264,125271,149836,122380,151821,64628,658.0111111111111,-92.28076923076924,245.65,-183.04,294.41,-871.93
6,1053,98747,165343,124971,151768,127554,163714,66436,739.9555555555555,-155.27692307692308,267.97,-161.42666666666668,361.6,-972.78
6,1073,96467,155436,115694,147238,123483,149104,65792,655.2111111111111,-152.85384615384615,315.44,-158.36666666666667,256.21,-833.12
6,1223,99022,160335,115764,142961,116126,157157,70534,681.2555555555556,-171.4269230769231,271.97,-178.9,410.31,-866.23
6,3224,124346,185318,105351,146765,103748,146095,54747,677.4666666666667,-307.56538461538463,414.14,-286.78,423.47,-913.48
6,3332,123125,183064,103197,145127,103157,145597,54590,665.9888888888889,-307.1807692307692,419.3,-279.8,424.4,-910.07
