Reading,Name,PlasticType,Color,MeasurementType,DateTime,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,nm940_snv,nm1050_snv,nm1200_snv,nm1300_snv,nm1450_snv,nm1550_snv,nm1650_snv,nm1720_snv,nm940_norm,nm1050_norm,nm1200_norm,nm1300_norm,nm1450_norm,nm1550_norm,nm1650_norm,nm1720_norm
0,,unknown,,calibration,2023-05-22 16:08:10,133415,213563,478259,484462,254704,268261,94281,67025,-0.772050461,-0.2378396988,1.526439534,1.567784412,0.03637756135,0.1267390838,-1.032890457,-1.214559975,1,1,1,1,1,1,1,1
1,ref,unknown,,regular,2023-05-22 16:08:15,130701,206732,474643,484453,252605,265012,93358,66031,-0.7731372909,-0.2663525859,1.519408447,1.584797011,0.03941394048,0.1221128111,-1.022047094,-1.204195239,-0.8026994425,-2.094933245,0.6158845765,1.452952068,0.5403947311,0.1108389636,0.3684853453,-0.1909229968
2,ref,unknown,,regular,2023-05-22 16:08:16,131029,208729,473325,483089,248257,260535,91869,65707,-0.7641129529,-0.2446243216,1.524418328,1.589698727,0.01965298368,0.1017415476,-1.025929874,-1.200844438,0.1528052978,-0.430492827,1.081898461,2.000562392,-0.7591274091,-1.187436481,-0.7924439296,-0.0657655045
3,ref,unknown,,regular,2023-05-22 16:08:18,129713,209010,472426,478951,246932,261396,91538,64490,-0.7694399877,-0.2370012675,1.531702188,1.57551422,0.01762552985,0.114743878,-1.02576555,-1.20737901,-0.3863901634,0.3684918193,1.439727281,1.536109446,-0.7111628067,-0.1330799061,-0.5444261082,-1.569269562
4,ref,unknown,,regular,2023-05-22 16:08:22,130875,209686,479025,483444,253918,265116,94796,66845,-0.7792698622,-0.2547500861,1.537812272,1.567222543,0.03963215417,0.1141594721,-1.019390518,-1.205415975,-1.513869599,-1.409450959,0.9229105567,0.4857368586,0.3694897037,-0.6502897836,1.378715378,0.416757845
5,A01A,PET,white,regular,2023-05-22 16:18:26,137878,218207,442931,464737,219378,247457,75244,49201,-0.652381378,-0.09488652128,1.464730481,1.616067269,-0.08675961223,0.1081127014,-1.08707038,-1.26781256,1.293719158,1.173887641,0.1951736423,0.5345300064,-0.4684006806,0.1574695681,-1.11556582,-1.770813515
6,A01A,PET,white,regular,2023-05-22 16:18:27,138609,214634,442436,460159,218463,246944,74929,48908,-0.6428392717,-0.1117749761,1.479510899,1.603312971,-0.08502791676,0.1139229836,-1.087668924,-1.269435765,1.400720722,1.052006501,0.2303208575,0.4846678466,-0.4624944403,0.1834291475,-1.109949361,-1.778701273
7,A01A,PET,white,regular,2023-05-22 16:18:29,137618,217131,439388,459315,211055,241196,73033,48893,-0.6363036566,-0.07931500102,1.477595537,1.617184195,-0.1218773879,0.08926035138,-1.088721655,-1.257822383,1.35530659,1.210144192,0.2488524483,0.536985513,-0.6350553766,0.05641854644,-1.164812525,-1.607839388
8,A02A,PET,white,regular,2023-05-22 16:18:55,141668,219902,459633,489200,237839,260135,80628,53167,-0.6720343496,-0.1520134274,1.441477072,1.638008741,-0.0327862975,0.1154150789,-1.077766858,-1.260299958,1.306936961,0.924878513,0.1100319233,0.6885705974,-0.2137419081,0.212785239,-1.14696858,-1.882492746
9,A02A,PET,white,regular,2023-05-22 16:18:57,140548,221175,461974,492019,237777,259453,79853,53357,-0.6776724874,-0.1457614499,1.442833511,1.641045861,-0.03623502516,0.1067655038,-1.078088482,-1.252887431,1.199733444,0.9894173941,0.1669643835,0.7528764767,-0.2154701977,0.1813249346,-1.23713473,-1.837711705
