Type,ID,Color,940,1050,1200,1300,1450,1550,1650,1720
HDPE,217,purple,0.0834,0.0552,0.0629,0.0686,0.049,0.0554,0.0653,0.0124
HDPE,222,purple,0.0782,0.0571,0.0491,0.0691,0.0549,0.0495,0.0712,0.0148
HDPE,222,purple,0.0782,0.0571,0.0491,0.0691,0.055,0.0495,0.0711,0.0148
HDPE,222,purple,0.0782,0.0571,0.0491,0.0691,0.055,0.0494,0.0711,0.0149
HDPE,222,purple,0.0781,0.0571,0.0493,0.0691,0.055,0.0494,0.0711,0.0149
HDPE,222,purple,0.0781,0.0571,0.0491,0.0691,0.055,0.0494,0.0711,0.0148
HDPE,223,white,0.127,0.0948,0.0905,0.1071,0.0829,0.0869,0.1136,0.0195
HDPE,223,white,0.127,0.0948,0.0905,0.1071,0.0829,0.0869,0.1136,0.0195
HDPE,223,white,0.1269,0.0948,0.0905,0.1071,0.0829,0.0869,0.1136,0.0195
HDPE,223,white,0.1269,0.0948,0.0903,0.1071,0.0829,0.0869,0.1136,0.0195
HDPE,223,white,0.1269,0.0948,0.0905,0.1071,0.0828,0.0868,0.1136,0.0195
HDPE,227,white,0.1331,0.0909,0.0819,0.0961,0.0719,0.0805,0.1069,0.0196
HDPE,227,white,0.133,0.091,0.082,0.0961,0.0719,0.0805,0.1068,0.0196
HDPE,227,white,0.133,0.0909,0.082,0.0961,0.0719,0.0805,0.1069,0.0196
HDPE,227,white,0.133,0.0909,0.082,0.0961,0.0719,0.0805,0.1068,0.0196
HDPE,227,white,0.133,0.091,0.082,0.0961,0.072,0.0805,0.1068,0.0196
HDPE,228,white,0.0939,0.0696,0.0582,0.0756,0.0591,0.0633,0.0767,0.0132
HDPE,228,white,0.0939,0.0696,0.0582,0.0756,0.0591,0.0633,0.0767,0.0132
HDPE,228,white,0.0939,0.0696,0.0582,0.0756,0.0592,0.0633,0.0767,0.0132
HDPE,228,white,0.0939,0.0696,0.0582,0.0757,0.0592,0.0633,0.0767,0.0132
HDPE,228,white,0.0939,0.0696,0.0583,0.0756,0.0591,0.0633,0.0767,0.0132
HDPE,229,grey,0.0829,0.0583,0.0559,0.0651,0.0508,0.0522,0.0635,0.0115
HDPE,229,grey,0.0829,0.0583,0.0559,0.0651,0.0508,0.0522,0.0634,0.0114
HDPE,229,grey,0.0829,0.0583,0.0559,0.0651,0.0508,0.0522,0.0634,0.0114
HDPE,229,grey,0.0829,0.0583,0.056,0.0652,0.0508,0.0523,0.0635,0.0114
HDPE,229,grey,0.0829,0.0583,0.056,0.0651,0.0508,0.0523,0.0634,0.0114
HDPE,230,white,0.0926,0.0647,0.0604,0.0706,0.0605,0.067,0.0785,0.0144
HDPE,230,white,0.0926,0.0649,0.0604,0.0706,0.0605,0.067,0.0785,0.0144
HDPE,230,white,0.0926,0.0648,0.0604,0.0707,0.0605,0.0669,0.0785,0.0145
HDPE,230,white,0.0925,0.0648,0.0604,0.0706,0.0606,0.0669,0.0785,0.0145
HDPE,230,white,0.0926,0.0647,0.0604,0.0707,0.0605,0.067,0.0785,0.0144
HDPE,232,white black white,0.0811,0.0628,0.0627,0.0718,0.0537,0.0545,0.0641,0.0114
HDPE,232,white black white,0.081,0.0628,0.0627,0.0718,0.0536,0.0545,0.0641,0.0114
HDPE,232,white black white,0.081,0.0628,0.0628,0.0719,0.0536,0.0545,0.064,0.0114
HDPE,232,white black white,0.081,0.0628,0.0628,0.0719,0.0536,0.0545,0.0641,0.0114
HDPE,232,white black white,0.081,0.0628,0.0628,0.0719,0.0536,0.0545,0.064,0.0114
HDPE,233,white,0.1002,0.0756,0.0739,0.1147,0.0751,0.0726,0.0886,0.0156
HDPE,233,white,0.1002,0.0756,0.074,0.1147,0.0751,0.0726,0.0886,0.0156
HDPE,233,white,0.1002,0.0756,0.074,0.1148,0.075,0.0726,0.0886,0.0155
HDPE,233,white,0.1001,0.0756,0.0739,0.1147,0.0751,0.0726,0.0885,0.0155
HDPE,233,white,0.1001,0.0756,0.0739,0.1147,0.0751,0.0726,0.0885,0.0155
HDPE,234,white,0.096,0.073,0.0662,0.0788,0.0603,0.0684,0.0879,0.0146
HDPE,234,white,0.0961,0.073,0.0662,0.0788,0.0603,0.0684,0.0879,0.0147
HDPE,234,white,0.096,0.073,0.0662,0.0788,0.0603,0.0685,0.0878,0.0147
HDPE,234,white,0.0959,0.073,0.0662,0.0788,0.0603,0.0684,0.0878,0.0147
HDPE,234,white,0.096,0.073,0.0662,0.0788,0.0603,0.0684,0.0878,0.0147
