Type,ID,Color,940,1050,1200,1300,1450,1550,1650,1720
PP,42,white,0.1305,0.1011,0.0928,0.1142,0.0876,0.1084,0.1404,0.0236
PP,42,white,0.1304,0.1011,0.0929,0.1141,0.0876,0.1085,0.1403,0.0236
PP,42,white,0.1305,0.1011,0.0929,0.1142,0.0876,0.1085,0.1404,0.0236
PP,42,white,0.1305,0.1011,0.0929,0.1142,0.0876,0.1084,0.1403,0.0236
PP,48,white,0.1265,0.0989,0.0858,0.1105,0.0811,0.0986,0.1265,0.0212
PP,48,white,0.1265,0.0989,0.0858,0.1105,0.0811,0.0986,0.1265,0.0212
PP,48,white,0.1265,0.0989,0.0858,0.1105,0.0811,0.0986,0.1265,0.0212
PP,48,white,0.1265,0.0989,0.0858,0.1105,0.0811,0.0987,0.1265,0.0212
PP,48,white,0.1265,0.0989,0.0858,0.1105,0.0811,0.0987,0.1265,0.0212
PP,49,white,0.0127,0.0119,0.0115,0.0127,0.0114,0.0118,0.0146,0.0034
PP,49,white,0.0126,0.0119,0.0114,0.0126,0.0114,0.0118,0.0146,0.0034
PP,49,white,0.0126,0.0119,0.0115,0.0126,0.0114,0.0118,0.0146,0.0034
PP,49,white,0.0126,0.0119,0.0115,0.0126,0.0114,0.0119,0.0146,0.0034
PP,49,white,0.0126,0.0119,0.0115,0.0126,0.0114,0.0119,0.0146,0.0034
PP,49,white,0.1357,0.1077,0.1014,0.1289,0.1054,0.1242,0.161,0.0276
PP,49,white,0.1356,0.1077,0.1014,0.1289,0.1055,0.1241,0.1609,0.0277
PP,49,white,0.1357,0.1077,0.1014,0.129,0.1055,0.1241,0.1609,0.0277
PP,49,white,0.1356,0.1077,0.1015,0.1289,0.1055,0.1242,0.1609,0.0277
PP,49,white,0.1356,0.1078,0.1015,0.1289,0.1055,0.1242,0.1609,0.0277
PP,50,white,0.1107,0.0917,0.0814,0.0972,0.0782,0.088,0.106,0.0185
PP,50,white,0.1106,0.0917,0.0815,0.0972,0.0782,0.088,0.106,0.0185
PP,50,white,0.1106,0.0916,0.0815,0.0972,0.0781,0.088,0.106,0.0184
PP,50,white,0.1106,0.0916,0.0815,0.0972,0.0781,0.088,0.106,0.0184
PP,50,white,0.1105,0.0916,0.0816,0.0972,0.0782,0.088,0.1059,0.0185
PP,51,white,0.0988,0.0825,0.0765,0.0831,0.0658,0.0743,0.0943,0.0168
PP,51,white,0.0988,0.0825,0.0765,0.0831,0.0658,0.0742,0.0943,0.0168
PP,51,white,0.0988,0.0825,0.0765,0.0831,0.0658,0.0742,0.0943,0.0168
PP,51,white,0.0988,0.0825,0.0766,0.0831,0.0658,0.0742,0.0943,0.0168
PP,51,white,0.0988,0.0825,0.0765,0.0831,0.0658,0.0742,0.0943,0.0168
PP,53,white,0.1185,0.0912,0.0803,0.098,0.078,0.0872,0.1153,0.0199
PP,53,white,0.1185,0.0912,0.0804,0.098,0.078,0.0872,0.1152,0.0199
PP,53,white,0.1185,0.0912,0.0803,0.098,0.078,0.0873,0.1152,0.0199
PP,53,white,0.1185,0.0912,0.0804,0.098,0.078,0.0872,0.1152,0.0199
PP,53,white,0.1185,0.0913,0.0803,0.098,0.0781,0.0872,0.1152,0.02
PP,54,,0.1222,0.0936,0.086,0.105,0.0843,0.0952,0.1215,0.0214
PP,54,,0.1222,0.0936,0.086,0.105,0.0843,0.0952,0.1214,0.0213
PP,54,,0.1222,0.0935,0.0861,0.105,0.0842,0.0952,0.1214,0.0213
PP,54,,0.1221,0.0936,0.0861,0.1049,0.0843,0.0953,0.1214,0.0214
PP,54,,0.1221,0.0935,0.0861,0.105,0.0842,0.0952,0.1214,0.0213
PP,55,white,0.1033,0.0784,0.0753,0.0933,0.0753,0.0791,0.0925,0.0162
PP,55,white,0.1034,0.0784,0.0753,0.0934,0.0753,0.0791,0.0925,0.0161
PP,55,white,0.1033,0.0784,0.0753,0.0933,0.0754,0.0791,0.0925,0.0161
PP,55,white,0.1033,0.0783,0.0753,0.0934,0.0753,0.0792,0.0925,0.0161
PP,55,white,0.1033,0.0784,0.0753,0.0934,0.0753,0.0791,0.0925,0.0161
PP,99,blue,0.0796,0.0571,0.0423,0.0544,0.0382,0.043,0.0539,0.0097
PP,99,blue,0.0795,0.057,0.0423,0.0542,0.0381,0.043,0.0537,0.0096
PP,99,blue,0.0795,0.0571,0.0424,0.0543,0.0382,0.0431,0.0539,0.0097
PP,99,blue,0.0795,0.0571,0.0424,0.0543,0.0381,0.0431,0.0538,0.0097
PP,99,blue,0.0795,0.0571,0.0424,0.0544,0.0382,0.0431,0.0539,0.0097
PET,105,transparent,0.0239,0.0199,0.0241,0.0312,0.036,0.0268,0.0625,0.0123
PET,105,transparent,0.0239,0.0199,0.0242,0.0312,0.036,0.0269,0.0624,0.0123
PET,105,transparent,0.0239,0.0199,0.0241,0.0312,0.036,0.0268,0.0624,0.0124
PET,105,transparent,0.0239,0.0199,0.0241,0.0312,0.0361,0.0269,0.0624,0.0123
PET,105,transparent,0.0239,0.0199,0.0241,0.0312,0.0361,0.0268,0.0624,0.0124
PET,106,red transparent,0.0126,0.0145,0.0257,0.0403,0.0314,0.0471,0.0462,0.0058
PET,106,red transparent,0.0127,0.0145,0.0257,0.0404,0.0314,0.047,0.0463,0.0058
PET,106,red transparent,0.0127,0.0145,0.0257,0.0404,0.0314,0.0471,0.0463,0.0057
